starttime	seconds	ctime	dtime	ttime	wait
Fri May 01 15:50:42 2015	1430491842	21	19	40	19
Fri May 01 15:50:15 2015	1430491815	16	24	40	23
Fri May 01 15:50:36 2015	1430491836	21	19	40	19
Fri May 01 15:50:34 2015	1430491834	17	23	40	23
Fri May 01 15:50:44 2015	1430491844	19	21	40	21
Fri May 01 15:50:50 2015	1430491850	17	23	40	23
Fri May 01 15:50:38 2015	1430491838	17	23	40	22
Fri May 01 15:50:32 2015	1430491832	19	22	40	21
Fri May 01 15:50:15 2015	1430491815	20	20	40	20
Fri May 01 15:50:34 2015	1430491834	19	21	40	21
Fri May 01 15:50:42 2015	1430491842	21	19	40	19
Fri May 01 15:50:29 2015	1430491829	19	22	40	21
Fri May 01 15:50:36 2015	1430491836	21	20	40	19
Fri May 01 15:50:46 2015	1430491846	20	20	40	20
Fri May 01 15:50:46 2015	1430491846	17	23	40	23
Fri May 01 15:50:34 2015	1430491834	20	20	40	20
Fri May 01 15:50:29 2015	1430491829	21	19	40	19
Fri May 01 15:50:41 2015	1430491841	20	20	40	20
Fri May 01 15:50:25 2015	1430491825	21	19	40	19
Fri May 01 15:50:05 2015	1430491805	16	24	40	24
Fri May 01 15:50:17 2015	1430491817	24	16	40	16
Fri May 01 15:50:25 2015	1430491825	14	26	40	26
Fri May 01 15:50:46 2015	1430491846	18	22	40	22
Fri May 01 15:50:23 2015	1430491823	18	22	40	22
Fri May 01 15:50:15 2015	1430491815	19	21	40	21
Fri May 01 15:50:25 2015	1430491825	19	21	40	21
Fri May 01 15:50:36 2015	1430491836	16	24	40	24
Fri May 01 15:50:29 2015	1430491829	19	22	40	22
Fri May 01 15:50:07 2015	1430491807	16	24	40	24
Fri May 01 15:50:46 2015	1430491846	17	23	40	23
Fri May 01 15:50:22 2015	1430491822	16	24	40	24
Fri May 01 15:50:45 2015	1430491845	23	17	40	17
Fri May 01 15:50:42 2015	1430491842	17	23	40	23
Fri May 01 15:50:12 2015	1430491812	20	20	40	20
Fri May 01 15:50:46 2015	1430491846	24	16	40	16
Fri May 01 15:50:35 2015	1430491835	21	19	40	19
Fri May 01 15:50:13 2015	1430491813	21	19	40	19
Fri May 01 15:50:32 2015	1430491832	19	21	40	21
Fri May 01 15:50:49 2015	1430491849	16	24	40	24
Fri May 01 15:50:27 2015	1430491827	21	19	40	19
Fri May 01 15:50:26 2015	1430491826	16	24	40	24
Fri May 01 15:50:24 2015	1430491824	15	25	40	25
Fri May 01 15:50:23 2015	1430491823	17	23	40	23
Fri May 01 15:50:49 2015	1430491849	15	25	40	25
Fri May 01 15:50:29 2015	1430491829	20	20	40	20
Fri May 01 15:50:32 2015	1430491832	18	22	40	22
Fri May 01 15:50:23 2015	1430491823	20	20	40	20
Fri May 01 15:50:23 2015	1430491823	17	23	40	23
Fri May 01 15:50:22 2015	1430491822	15	26	40	26
Fri May 01 15:50:32 2015	1430491832	19	21	40	21
Fri May 01 15:50:41 2015	1430491841	19	21	40	21
Fri May 01 15:50:07 2015	1430491807	22	18	40	18
Fri May 01 15:50:33 2015	1430491833	19	21	40	21
Fri May 01 15:50:05 2015	1430491805	15	25	40	25
Fri May 01 15:50:12 2015	1430491812	20	20	40	20
Fri May 01 15:50:26 2015	1430491826	21	20	40	20
Fri May 01 15:50:34 2015	1430491834	17	23	40	23
Fri May 01 15:50:38 2015	1430491838	20	21	40	21
Fri May 01 15:50:23 2015	1430491823	15	25	40	25
Fri May 01 15:50:14 2015	1430491814	15	25	40	25
Fri May 01 15:50:44 2015	1430491844	19	21	40	21
Fri May 01 15:50:42 2015	1430491842	18	22	40	22
Fri May 01 15:50:46 2015	1430491846	19	21	40	21
Fri May 01 15:50:41 2015	1430491841	15	25	40	25
Fri May 01 15:50:32 2015	1430491832	17	23	40	23
Fri May 01 15:50:16 2015	1430491816	16	25	40	25
Fri May 01 15:50:29 2015	1430491829	19	22	40	22
Fri May 01 15:50:47 2015	1430491847	17	24	40	24
Fri May 01 15:50:38 2015	1430491838	17	24	40	24
Fri May 01 15:50:24 2015	1430491824	15	25	40	25
Fri May 01 15:50:38 2015	1430491838	20	21	40	21
Fri May 01 15:50:41 2015	1430491841	18	23	40	23
Fri May 01 15:50:38 2015	1430491838	18	23	40	23
Fri May 01 15:50:15 2015	1430491815	19	21	40	21
Fri May 01 15:50:26 2015	1430491826	15	26	40	26
Fri May 01 15:50:36 2015	1430491836	18	22	40	22
Fri May 01 15:50:35 2015	1430491835	21	19	40	19
Fri May 01 15:50:23 2015	1430491823	17	23	40	23
Fri May 01 15:50:45 2015	1430491845	17	23	40	23
Fri May 01 15:50:35 2015	1430491835	17	23	40	23
Fri May 01 15:50:05 2015	1430491805	15	26	40	26
Fri May 01 15:50:12 2015	1430491812	19	21	40	21
Fri May 01 15:50:38 2015	1430491838	20	20	40	20
Fri May 01 15:50:41 2015	1430491841	19	21	40	21
Fri May 01 15:50:35 2015	1430491835	17	23	40	23
Fri May 01 15:50:33 2015	1430491833	18	22	40	22
Fri May 01 15:50:05 2015	1430491805	16	24	40	24
Fri May 01 15:50:27 2015	1430491827	16	24	40	24
Fri May 01 15:50:29 2015	1430491829	17	23	40	23
