starttime	seconds	ctime	dtime	ttime	wait
Fri May 01 15:55:24 2015	1430492124	25	31	56	30
Fri May 01 15:55:15 2015	1430492115	27	29	56	29
Fri May 01 15:55:23 2015	1430492123	23	33	56	33
Fri May 01 15:55:15 2015	1430492115	27	30	56	30
Fri May 01 15:55:15 2015	1430492115	28	28	56	28
Fri May 01 15:55:15 2015	1430492115	20	36	56	36
Fri May 01 15:55:23 2015	1430492123	26	31	57	31
Fri May 01 15:55:23 2015	1430492123	24	33	57	33
Fri May 01 15:55:15 2015	1430492115	28	29	57	29
Fri May 01 15:55:24 2015	1430492124	25	32	57	32
Fri May 01 15:55:24 2015	1430492124	25	32	57	32
Fri May 01 15:55:23 2015	1430492123	21	36	57	36
Fri May 01 15:55:15 2015	1430492115	28	29	57	29
Fri May 01 15:55:24 2015	1430492124	25	32	57	32
Fri May 01 15:55:24 2015	1430492124	24	33	58	33
Fri May 01 15:55:23 2015	1430492123	22	36	58	35
Fri May 01 15:55:23 2015	1430492123	24	33	58	33
Fri May 01 15:55:24 2015	1430492124	20	37	58	37
Fri May 01 15:55:15 2015	1430492115	28	30	58	30
Fri May 01 15:55:23 2015	1430492123	14	44	58	44
Fri May 01 15:55:23 2015	1430492123	22	36	58	36
Fri May 01 15:55:23 2015	1430492123	23	35	58	35
Fri May 01 15:55:23 2015	1430492123	21	37	58	37
Fri May 01 15:55:23 2015	1430492123	22	37	59	37
Fri May 01 15:55:15 2015	1430492115	28	30	59	30
Fri May 01 15:55:23 2015	1430492123	26	34	59	33
Fri May 01 15:55:23 2015	1430492123	23	37	60	37
Fri May 01 15:55:23 2015	1430492123	15	45	60	45
Fri May 01 15:55:23 2015	1430492123	26	34	60	34
Fri May 01 15:55:23 2015	1430492123	17	44	61	43
Fri May 01 15:55:23 2015	1430492123	15	46	61	46
Fri May 01 15:55:23 2015	1430492123	40	22	62	22
Fri May 01 15:55:15 2015	1430492115	27	35	62	35
Fri May 01 15:55:23 2015	1430492123	24	38	62	38
Fri May 01 15:55:23 2015	1430492123	40	23	63	23
Fri May 01 15:55:23 2015	1430492123	23	41	64	41
Fri May 01 15:55:23 2015	1430492123	23	41	64	41
Fri May 01 15:55:23 2015	1430492123	40	25	65	25
Fri May 01 15:55:23 2015	1430492123	25	41	65	40
Fri May 01 15:55:15 2015	1430492115	27	43	70	42
Fri May 01 15:55:15 2015	1430492115	34	36	70	36
Fri May 01 15:55:15 2015	1430492115	42	28	71	28
Fri May 01 15:55:15 2015	1430492115	42	29	71	29
Fri May 01 15:55:15 2015	1430492115	26	50	76	50
Fri May 01 15:55:15 2015	1430492115	34	43	77	43
Fri May 01 15:55:15 2015	1430492115	34	43	77	43
Fri May 01 15:55:15 2015	1430492115	42	37	79	37
Fri May 01 15:55:19 2015	1430492119	19	309	329	309
Fri May 01 15:55:18 2015	1430492118	19	310	329	310
Fri May 01 15:55:22 2015	1430492122	13	323	336	323
Fri May 01 15:55:23 2015	1430492123	15	329	343	328
